m, repeat_after, max_value
614, 2955280, 8042
615, 8660200, 8162
616, 6088723, 8090
617, 8915964, 8286
618, 6364114, 8114
619, 5188883, 7708
620, 31982872, 8314
621, 9715672, 8070
622, 18892448, 8399
623, 38204216, 8402
624, 34706871, 8606
625, 25788155, 8398
626, 1869413, 7768
627, 23382448, 8416
628, 193935640, 8686
629, 3513131, 8356
630, 247651041, 8638
631, 7746948, 8182
632, 85537517, 8678
633, 106687296, 8734
634, 60818272, 8458
635, 146380963, 8644
636, 65336732, 8483
637, 12705547, 8582
638, 101868500, 9110
639, 135775693, 8596
640, 46028742, 8886
641, 162045907, 8686
642, 187416437, 8954
643, 149776095, 8894
644, 85780323, 8677
645, 71175788, 8630
646, 172234183, 9146
647, 809823236, 9237
648, 312909640, 9369
649, 183366447, 9076
650, 63651277, 8886
651, 568566212, 9224
652, 1881470781, 9078
653, 189570855, 9722
654, 50943754, 8884
655, 89442003, 8858
656, 388344752, 9182
657, 137938708, 8948
658, 18660073, 9002
659, 39773166, 9032
660, 464013344, 9250
661, 305007385, 9356
662, 265513260, 9082
663, 1290216239, 9406
664, 527086844, 9194
665, 1785614295, 9478
666, 1701766349, 9422
667, 59849708, 9074
668, 275866506, 9508
669, 322108490, 9664
670, 2384666905, 9944
671, 996036336, 9586
672, 1203111833, 9442
673, 53922655, 9070
674, 382525045, 9498
675, 280337987, 9556
676, 650763553, 9459
677, 45441044, 9242
678, 899377735, 9722
679, 281394886, 9626
680, 831907777, 10196
681, 377951243, 9662
682, 14906260, 8860
683, 2904690574, 9722
684, 1413013486, 9650
685, 923054450, 9670
686, 1500469511, 9806
687, 501722074, 9556
688, 703558622, 9878
689, 808855541, 9908
690, 285512153, 9586
691, 972716688, 9884
692, 24342798, 9678
693, 178443251, 9674
694, 522154389, 9658
695, 288288811, 10364
696, 414264814, 9893
697, 5774150960, 10312
698, 938824132, 10172
699, 886078292, 9874
700, 277023487, 10046
701, 98910797, 9518
702, 511616272, 9904
703, 504716762, 9946
704, 7684288, 9838
705, 238935812, 9722
706, 91103748, 9722
707, 188573288, 10036
708, 128305279, 9896
709, 65829306, 9626
710, 28329469, 9740
711, 192018564, 9950
712, 38877480, 10274
713, 116132207, 9674
714, 12075956, 9278
715, 84707584, 9788
716, 101462433, 9767
717, 66169906, 9906
718, 19824983, 9574
719, 106469216, 10265
720, 82984986, 10198
721, 18999323, 9574
722, 16908968, 9722
723, 24496718, 9586
724, 51666481, 9839
725, 5703042, 9868
726, 94127144, 10356
727, 71832387, 9894
728, 33415879, 10020
729, 11674474, 9942
730, 2344672, 9254
731, 536813942, 10522
732, 83372608, 10415
733, 52900083, 10216
734, 171787464, 10443
735, 467692291, 10808
736, 142105507, 10526
737, 383852087, 11306
738, 454805961, 10586
739, 357420708, 10825
740, 1092030586, 10574
741, 1544332879, 10708
742, 17770515, 10236
743, 304052694, 10754
744, 790024628, 10618
745, 179919863, 10604
746, 485852376, 10586
747, 344743356, 10482
748, 371279690, 10522
749, 74031802, 10420
750, 232995326, 10554
751, 363555530, 10826
752, 261840982, 10562
753, 149032083, 10748
754, 78942913, 10459
755, 48222572, 10826
756, 48965889, 10328
757, 40159541, 10690
758, 82762586, 10328
759, 435654327, 10594
760, 15748371, 10300
761, 67692397, 10484
762, 77692105, 10333
763, 155421847, 10978
764, 391389204, 10878
765, 79235425, 11238
766, 338091246, 10766
