m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
317, 4731223, 4400, 2630, 318, 2630, 2622, 3
318, 2896502, 4506, 2374, 640, 2374, 2350, 9
319, 3379440, 4379, 2630, 320, 2630, 2622, 3
320, 324114, 3964, 2634, 322, 2642, 2618, 8
321, 80180, 3637, 2042, 322, 2042, 2028, 4
322, 5836419, 4375, 2374, 648, 2374, 2350, 10
323, 2050237, 4504, 2042, 324, 2042, 2028, 4
324, 2468938, 4408, 2630, 325, 2630, 2622, 3
325, 3558583, 4414, 2630, 326, 2630, 2622, 3
326, 1700005, 4318, 2042, 327, 2042, 2028, 4
327, 188495, 3643, 2042, 328, 2042, 2028, 4
328, 592659, 4122, 2374, 660, 2374, 2350, 9
329, 146372, 4262, 2042, 330, 2042, 2028, 4
330, 1571698, 4106, 2634, 662, 2638, 2624, 4
331, 2461274, 4548, 2634, 664, 2638, 2624, 4
332, 1602649, 4402, 2042, 333, 2042, 2028, 4
333, 945453, 4634, 2634, 668, 2638, 2624, 4
334, 5709101, 4586, 2634, 670, 2638, 2624, 4
335, 330455, 3812, 2634, 337, 2642, 2616, 7
336, 25664, 3553, 2374, 337, 2374, 2366, 3
337, 1142326, 4672, 2634, 676, 2638, 2624, 4
338, 3409247, 4678, 2374, 339, 2374, 2366, 3
339, 310234, 3964, 2374, 682, 2374, 2340, 12
340, 1173167, 4314, 2634, 342, 2642, 2616, 7
341, 2772709, 4951, 2042, 342, 2042, 2028, 4
342, 3501886, 4630, 2634, 344, 2642, 2618, 8
343, 62160, 3369, 2634, 688, 2638, 2624, 4
344, 3136938, 4636, 2634, 690, 2638, 2624, 4
345, 2098090, 4994, 2634, 347, 2642, 2618, 8
346, 5418205, 5216, 2634, 348, 2642, 2618, 8
347, 4717622, 5018, 2042, 348, 2042, 2028, 4
348, 1518003, 4542, 2634, 698, 2638, 2624, 4
349, 73621, 3846, 2634, 700, 2638, 2624, 4
350, 5582252, 5098, 2634, 702, 2638, 2624, 4
351, 656363, 4738, 2634, 704, 2638, 2624, 4
352, 3954875, 4618, 2634, 354, 2642, 2616, 7
353, 1034464, 4742, 2042, 354, 2042, 2028, 4
354, 271255, 4210, 2374, 712, 2374, 2350, 9
355, 165939, 4016, 2634, 357, 2642, 2618, 8
356, 528043, 5209, 2634, 714, 2638, 2624, 4
357, 217664, 4316, 2634, 716, 2638, 2624, 4
358, 555162, 5213, 2042, 359, 2042, 2028, 4
359, 217086, 4038, 2374, 360, 2374, 2366, 3
