signature_id,distinct_count,cycle_min,cycle_max,signature_hash,value_set_id,value_set_hash,size,representative_m,member_m_list
479,8,2618,2642,aace3d01b839306d,102,d9b72fe9cece512d,1,480,480
480,8,2618,2642,aeb716aea1916836,102,d9b72fe9cece512d,1,481,481
481,5,2624,2638,278caad02c9dba71,106,e8f7791cc840982e,1,482,482
482,4,2624,2638,587b6faaa280c553,103,9d8cb7c2d421b364,1,483,483
483,8,2618,2642,819805a0adcf3de6,102,d9b72fe9cece512d,1,484,484
484,10,2350,2374,a4ba3fad54039eb7,98,cb4c5de470ba3a91,1,485,485
485,4,2624,2638,06042153090b90b8,103,9d8cb7c2d421b364,1,486,486
486,5,4074,4086,cec43f0a806c0fa7,110,d37a04a564f318de,1,487,487
487,7,2616,2642,548e5bc6297c562a,104,12d30bc0239fccad,1,488,488
488,4,2624,2638,666518c37aad7873,103,9d8cb7c2d421b364,1,489,489
489,3,2366,2374,77567fbc9c449d52,101,275b0fc0eefb9622,1,490,490
490,4,2624,2638,8cb1b6569f8f24d5,103,9d8cb7c2d421b364,1,491,491
491,9,2350,2374,eafaa52fb27a8498,99,be6cf9f5daa1b46d,1,492,492
492,4,2624,2638,1e8f240e81af9e38,103,9d8cb7c2d421b364,1,493,493
493,4,2624,2638,a36c395130a96f7e,103,9d8cb7c2d421b364,1,494,494
494,5,2624,2638,91fb3b424ba3560e,106,e8f7791cc840982e,1,495,495
495,4,2624,2638,ad8e4496b26956f4,103,9d8cb7c2d421b364,1,496,496
496,5,4074,4086,a7c2be24b34f6381,110,d37a04a564f318de,1,497,497
497,4,2624,2638,0aaf8df068337772,103,9d8cb7c2d421b364,1,498,498
498,4,2624,2638,add6bf34a3b0f7dc,103,9d8cb7c2d421b364,1,499,499
499,4,2624,2638,2a3cb0bd7aedd7b2,103,9d8cb7c2d421b364,1,500,500
500,8,2618,2642,47eb4bd3f5583d44,102,d9b72fe9cece512d,1,501,501
501,8,2618,2642,25ef8a8a3baef11b,102,d9b72fe9cece512d,1,502,502
502,5,2624,2638,834c019aac9ea8f1,106,e8f7791cc840982e,1,503,503
503,9,2350,2374,1f6709ff290386a7,99,be6cf9f5daa1b46d,1,504,504
504,4,2624,2638,3be3b859c4445da7,103,9d8cb7c2d421b364,1,505,505
505,5,2624,2638,87b9dbc314c65e23,106,e8f7791cc840982e,1,506,506
506,10,2616,2642,c37b5ed72307fa34,111,3e2b20788ab9bd21,1,507,507
507,5,2624,2638,1b00c8012b34a601,106,e8f7791cc840982e,1,508,508
508,5,2624,2638,269bbb2fe54868ea,106,e8f7791cc840982e,1,509,509
509,8,2618,2642,dc6d34964573eb96,102,d9b72fe9cece512d,1,510,510
510,5,2624,2638,cd3d4654b9687cc5,106,e8f7791cc840982e,1,511,511
511,8,2618,2642,cbfa90ff13a2187f,102,d9b72fe9cece512d,1,512,512
512,8,2618,2642,656d3cda53677bac,102,d9b72fe9cece512d,1,513,513
513,4,2624,2638,59914b8a06d8c637,103,9d8cb7c2d421b364,1,514,514
514,10,2350,2374,fa50aba51a18c264,98,cb4c5de470ba3a91,1,515,515
515,3,2634,2638,be5d06c8c7738d6c,112,f71ed42abfdb0848,1,516,516
516,7,2616,2642,c3280cf83c388389,104,12d30bc0239fccad,1,517,517
517,4,2624,2638,5abb09703d3c3d00,103,9d8cb7c2d421b364,1,518,518
518,4,2624,2638,5b53d48387a8312c,103,9d8cb7c2d421b364,1,519,519
519,4,2624,2638,72676f0ea062e0d3,103,9d8cb7c2d421b364,1,520,520
520,4,2624,2638,3332b7138c6acfbf,103,9d8cb7c2d421b364,1,521,521
521,4,2624,2638,5b72240eb55d7e5b,103,9d8cb7c2d421b364,1,522,522
522,4,4602,4612,078a9b214fe1c9de,113,fe104a03c08925f3,1,523,523
523,60,4186,4402,740a85411c4e8d8e,114,c3a0edd450aaa9a7,1,524,524
524,10,2350,2374,19c197312c51196c,98,cb4c5de470ba3a91,1,525,525
525,7,2616,2642,fdbaa182b202df2a,104,12d30bc0239fccad,1,526,526
526,5,2624,2638,a4ac0b6c2c0e459e,106,e8f7791cc840982e,1,527,527
527,20,4216,4262,fc4dba8e02263078,115,c6839c0a400be3d9,1,528,528
528,20,4216,4262,3bae00f405adf8c2,115,c6839c0a400be3d9,1,529,529
529,7,2616,2642,9c008601786595dc,104,12d30bc0239fccad,1,530,530
530,47,4230,4354,6744f9b65a4bea28,116,3b233d4d40df1604,1,531,531
531,4568,2178,6938,69bddb3467013412,117,15f0979204706798,1,532,532
532,4,4602,4612,8ceae3fb340893bb,113,fe104a03c08925f3,1,533,533
533,4229,2208,6715,45f9e3e83911801d,118,55aca7dfc327ed9d,1,534,534
534,149,4140,4478,d60a0e9b43d5d0bb,119,78183495dadfb9db,1,535,535
535,2,4288,4294,cab62a695bce5f5a,120,47015eb125ddb8d0,1,536,536
536,79,4258,4436,277c0cadfb551c4b,121,b5459028d0de7d29,1,537,537
537,8,4296,4314,2869f864226ef27c,122,61720199c70ad76f,1,538,538
538,4,4602,4612,17d6a8d96472f8dc,113,fe104a03c08925f3,1,539,539
539,2,4324,4328,ccb8b0219b4e98df,123,e58ba1f2e51b8b87,1,540,540
540,3,4332,4342,da1b66435a124724,124,a5711838bc3e36f1,1,541,541
