m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
8,1471,17327759368991166751,0,132,59,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
16,608,18293305670228836450,0,233,434,17,112,118,4,112;114;116;118
25,1332,6802616357701599758,0,2057,295,27,150,166,5,150;156;158;164;166
8,749,16766429140678796319,0,114,47,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
16,609,14468154554302752413,0,99,178,17,112,118,4,112;114;116;118
8,1472,725284418363603782,0,112,57,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,750,12074942430013982911,0,98,55,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,751,3531610270273732939,0,33,37,9,16,19,2,16;19
8,1473,5290432317085406006,0,76,43,9,16,19,2,16;19
16,610,13396185640325802196,0,229,148,17,112,118,4,112;114;116;118
8,752,14426048208174902873,0,59,80,27,28,41,8,28;32;33;34;36;37;39;41
25,1333,9412046524652529272,0,792,329,27,150,166,5,150;156;158;164;166
16,611,626990701774109186,0,96,229,17,112,118,3,112;114;118
49,1115,7874076782086037170,0,2830,623,50,196,201,2,196;201
8,1474,9902727329605943147,0,73,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,753,6965993890011950275,0,111,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
16,612,16971718310901506163,0,122,118,17,112,118,4,112;114;116;118
8,1475,11431037516331125677,0,116,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,292,3705132508851973268,0,3414,435,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
8,754,12822771640619052323,0,47,48,10,30,41,5,30;35;36;39;41
25,597,16853661926940845144,0,3371,317,27,150,166,5,150;156;158;164;166
8,1476,580310937830780971,0,60,51,27,28,41,8,28;32;33;34;36;37;39;41
8,755,9166514530253247241,0,60,43,27,28,41,8,28;32;33;34;36;37;39;41
8,756,6934855817475013823,0,62,81,27,28,41,8,28;32;33;34;36;37;39;41
8,1477,11887734243184191073,0,123,74,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,1334,10009618735814920399,0,1355,282,52,172,178,4,172;174;176;178
16,613,9932408007136900756,0,620,128,17,112,118,3,112;114;118
25,293,6248518557970551640,0,1294,379,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
25,1335,6872878800710860646,0,398,558,52,172,178,4,172;174;176;178
16,614,11605792675144124590,0,481,325,34,76,82,4,76;78;80;82
16,615,17764515600908661537,0,285,201,17,112,118,4,112;114;116;118
16,616,15301929656788697001,0,95,148,17,112,118,4,112;114;116;118
125,1523,13808501741343979727,0,33449,3446,127,1000,1030,4,1000;1008;1022;1030
49,1116,4062218461632332766,0,2419,1195,50,196,201,2,196;201
16,617,2790379238614130367,0,277,155,17,112,118,3,112;114;118
125,1026,1317937108755146123,0,9498,2436,127,1000,1030,4,1000;1008;1022;1030
