m,realised_K,n_admissible,pos_index,min_admissible_K,max_admissible_K
261,1350,193,7,685,16024
263,1350,211,8,685,14463
266,1350,199,7,685,14840
267,2046,201,22,685,16024
271,1350,202,7,685,14840
277,1350,204,6,685,14840
282,2046,196,19,685,16260
283,1350,210,4,685,14840
284,1350,199,6,685,16260
285,2638,207,32,685,16024
288,2046,210,21,685,16260
289,2046,207,19,685,14840
290,2638,208,36,685,16260
292,2046,207,22,685,16376
294,2638,201,31,685,16376
297,2638,218,34,685,16376
299,1350,221,4,685,16452
301,2378,222,26,685,16376
305,2046,230,21,685,16376
306,2638,213,34,685,16376
308,2638,225,33,685,16376
309,2638,225,30,685,16376
310,2638,215,30,685,16376
311,2638,227,32,685,16376
313,2638,231,31,685,16376
314,2638,225,35,685,16376
315,2638,228,28,685,16376
316,2638,223,31,685,16376
317,2638,241,33,685,16376
319,2638,238,30,685,16376
321,2046,233,13,685,16376
323,2046,251,18,685,16376
324,2638,234,30,685,16376
325,2638,243,30,685,16452
326,2046,238,15,685,16376
327,2046,247,16,685,16376
329,2046,255,15,685,16376
332,2046,244,18,685,16376
336,2378,240,20,685,16376
338,2378,252,22,685,16452
341,2046,266,16,685,16376
347,2046,271,14,1165,16376
353,2046,274,15,799,16376
358,2046,264,13,1321,16376
359,2378,276,20,1035,16376
361,2046,274,12,1165,16376
362,2378,265,19,1321,16376
364,2046,267,11,1321,16452
367,2378,286,14,1321,16376
370,2046,269,11,1321,16376
371,2046,281,11,1321,16376
378,2046,271,9,1321,16376
382,2046,278,13,1165,16376
388,2046,281,10,1321,16376
391,2046,284,10,1321,16376
393,2046,292,10,1321,16376
395,2046,291,12,1035,16376
396,2378,281,13,1165,16376
401,2378,291,15,1321,16376
403,2378,298,13,1165,16452
408,2378,285,11,1321,16376
409,2046,296,11,1321,16376
411,2378,293,12,1321,16408
415,2046,294,9,1321,16376
421,2046,287,9,1321,16376
423,2378,295,11,1321,16408
425,2378,285,13,1321,16376
427,2046,290,7,1321,16376
430,2522,276,14,1321,16376
434,2046,281,6,1321,16376
443,2046,302,6,1321,16376
446,2046,277,5,1321,16376
453,2378,305,7,1321,16408
456,2522,287,11,1321,16408
459,2378,308,7,1165,16408
463,2046,308,5,1321,16376
490,2378,289,6,1321,16376
516,2642,303,9,1321,16408
523,4618,325,61,1321,16376
533,4618,327,60,1321,16452
536,4302,316,50,1165,16376
539,4618,328,55,1321,16376
540,4336,300,45,1321,16472
541,4350,328,52,1321,16376
553,4618,327,60,1321,16376
556,4538,314,56,1321,16376
562,4618,308,56,1321,16376
563,4618,327,59,1321,16376
566,4576,303,54,1321,16376
567,4618,324,54,1321,16408
569,4618,322,54,1321,16376
572,4752,307,57,1321,16452
573,4618,322,53,1321,16408
574,4618,301,53,1321,16376
575,4638,315,51,1321,16472
576,4638,308,55,1321,16408
579,5162,313,66,1321,16408
581,4752,312,55,1321,16376
583,4752,328,62,1321,16376
585,5162,313,63,1321,16472
589,4538,320,49,1321,16376
591,5162,322,69,1321,16408
594,5162,302,63,1321,16408
597,5162,322,61,1321,16408
603,5162,323,63,1321,16408
605,4864,315,50,1321,16472
615,4986,318,49,1321,16472
616,4986,313,56,1321,16376
618,5162,306,59,1321,16408
619,4986,322,57,1321,16376
620,4986,309,50,1321,16472
621,4986,322,50,1321,16408
622,4986,317,52,1321,16376
624,5162,308,57,1321,16452
628,5042,315,54,1321,16376
629,5162,321,61,1321,16376
631,5162,331,60,1321,16376
632,5162,314,53,1321,16376
633,5162,322,54,1321,16408
636,5162,305,55,1321,16408
637,5162,323,55,1321,16452
639,5162,315,54,1321,16408
640,5162,307,55,1321,16472
641,5162,324,57,1321,16376
643,5162,333,55,1321,16376
644,5162,299,53,1321,16376
645,5162,307,49,1321,16472
646,5162,309,56,1321,16376
647,5162,321,50,1321,16376
648,5162,313,53,1321,16408
649,5162,321,54,1321,16376
650,5162,295,48,1321,16472
651,5162,310,50,1321,16408
652,5162,317,52,1321,16376
653,5162,323,49,1321,16376
654,5162,295,49,1321,16408
655,5162,327,52,1321,16472
656,5162,306,52,1321,16376
657,5162,322,48,1321,16408
658,5162,303,51,1321,16376
659,5162,317,51,1321,16376
660,5162,297,43,2738,16472
