m,x,q
662,11916,18
663,53040,80
664,10624,16
664,23904,36
665,63840,96
666,31968,48
667,24012,36
668,13360,20
668,16032,24
669,16056,24
670,32160,48
671,24156,36
672,48384,72
672,53760,80
673,5384,8
673,8076,12
674,12132,18
675,40500,60
675,48600,72
675,54000,80
676,40560,60
677,5416,8
677,8124,12
678,27120,40
679,24444,36
680,38080,56
680,61200,90
681,16344,24
682,27280,40
682,32736,48
683,5464,8
683,8196,12
685,24660,36
686,27440,40
686,32928,48
687,16488,24
688,19264,28
689,24804,36
690,44160,64
691,5528,8
691,8292,12
692,13840,20
692,16608,24
693,66528,96
694,12492,18
695,25020,36
696,33408,48
696,38976,56
697,25092,36
698,12564,18
699,16776,24
700,67200,96
701,5608,8
701,8412,12
702,44928,64
703,25308,36
704,28160,40
706,12708,18
707,25452,36
708,22656,32
708,42480,60
709,5672,8
709,8508,12
710,34080,48
712,11392,16
712,25632,36
713,25668,36
714,45696,64
714,85680,120
715,68640,96
716,14320,20
716,17184,24
717,17208,24
718,12924,18
719,5752,8
719,8628,12
720,64800,90
721,25956,36
722,25992,36
723,17352,24
724,14480,20
724,17376,24
725,52200,72
727,5816,8
727,8724,12
729,6561,9
729,13122,18
729,40824,56
730,35040,48
731,26316,36
732,23424,32
732,43920,60
733,5864,8
733,8796,12
734,13212,18
737,26532,36
738,35424,48
739,5912,8
739,8868,12
740,23680,32
740,44400,60
740,53280,72
741,59280,80
742,29680,40
742,35616,48
743,5944,8
743,8916,12
744,35712,48
744,41664,56
745,26820,36
746,13428,18
748,23936,32
748,53856,72
749,26964,36
750,45000,60
750,48000,64
751,6008,8
751,9012,12
752,21056,28
753,18072,24
754,30160,40
754,36192,48
755,27180,36
756,54432,72
756,90720,120
757,6056,8
757,9084,12
758,13644,18
759,60720,80
760,42560,56
760,68400,90
761,6088,8
761,9132,12
762,30480,40
763,27468,36
764,15280,20
764,18336,24
765,73440,96
766,13788,18
767,27612,36
768,33792,44
769,6152,8
769,9228,12
770,49280,64
770,92400,120
770,110880,144
771,18504,24
772,15440,20
772,18528,24
773,6184,8
773,9276,12
774,37152,48
775,55800,72
776,12416,16
776,27936,36
777,62160,80
778,14004,18
779,28044,36
780,74880,96
780,87360,112
781,28116,36
782,31280,40
782,37536,48
783,28188,36
783,46980,60
783,62640,80
784,21952,28
784,56448,72
785,28260,36
786,31440,40
787,6296,8
787,9444,12
788,15760,20
788,18912,24
789,18936,24
790,37920,48
791,28476,36
793,28548,36
794,14292,18
796,15920,20
796,19104,24
797,6376,8
797,9564,12
798,51072,64
798,95760,120
799,28764,36
800,100800,126
802,14436,18
803,28908,36
804,25728,32
804,48240,60
805,77280,96
806,32240,40
806,38688,48
807,19368,24
808,12928,16
808,29088,36
809,6472,8
809,9708,12
811,6488,8
811,9732,12
812,25984,32
812,58464,72
813,19512,24
814,32560,40
814,39072,48
815,29340,36
816,68544,84
817,29412,36
818,14724,18
819,78624,96
820,26240,32
820,49200,60
820,59040,72
821,6568,8
821,9852,12
822,32880,40
823,6584,8
823,9876,12
824,13184,16
824,29664,36
825,66000,80
826,33040,40
826,39648,48
827,6616,8
827,9924,12
829,6632,8
829,9948,12
830,39840,48
831,19944,24
832,33280,40
833,59976,72
834,33360,40
835,30060,36
836,26752,32
836,60192,72
837,30132,36
837,50220,60
837,66960,80
838,15084,18
839,6712,8
839,10068,12
841,7569,9
841,15138,18
841,20184,24
842,15156,18
843,20232,24
844,16880,20
844,20256,24
845,60840,72
846,40608,48
847,60984,72
848,23744,28
849,20376,24
850,34000,40
851,30636,36
852,27264,32
852,51120,60
853,6824,8
853,10236,12
854,34160,40
854,40992,48
855,82080,96
856,13696,16
856,30816,36
857,6856,8
857,10284,12
858,54912,64
858,102960,120
859,6872,8
859,10308,12
860,27520,32
860,51600,60
860,61920,72
861,68880,80
862,15516,18
863,6904,8
863,10356,12
864,69120,80
865,31140,36
866,15588,18
867,31212,36
868,27776,32
868,62496,72
869,31284,36
870,55680,64
871,31356,36
872,13952,16
872,31392,36
874,34960,40
874,41952,48
875,35000,40
875,52500,60
875,84000,96
876,28032,32
876,52560,60
877,7016,8
877,10524,12
878,15804,18
879,21096,24
881,7048,8
881,10572,12
882,47628,54
882,79380,90
882,105840,120
883,7064,8
883,10596,12
884,28288,32
884,63648,72
886,15948,18
887,7096,8
887,10644,12
888,42624,48
888,49728,56
889,32004,36
890,42720,48
892,17840,20
892,21408,24
893,32148,36
894,35760,40
895,32220,36
896,43008,48
897,71760,80
898,16164,18
899,32364,36
900,86400,96
901,32436,36
902,36080,40
902,43296,48
903,72240,80
904,14464,16
904,32544,36
905,32580,36
906,36240,40
907,7256,8
907,10884,12
908,18160,20
908,21792,24
910,58240,64
