m,x,q
910,109200,120
910,131040,144
911,7288,8
911,10932,12
912,76608,84
913,32868,36
914,16452,18
916,18320,20
916,21984,24
917,33012,36
918,58752,64
919,7352,8
919,11028,12
920,51520,56
920,82800,90
921,22104,24
922,16596,18
923,33228,36
924,88704,96
925,66600,72
926,16668,18
929,7432,8
929,11148,12
930,59520,64
931,67032,72
932,18640,20
932,22368,24
933,22392,24
934,16812,18
935,89760,96
937,7496,8
937,11244,12
938,37520,40
938,45024,48
939,22536,24
940,30080,32
940,56400,60
940,67680,72
941,7528,8
941,11292,12
942,37680,40
943,33948,36
944,26432,28
945,113400,120
945,120960,128
946,37840,40
946,45408,48
947,7576,8
947,11364,12
948,30336,32
948,56880,60
949,34164,36
950,38000,40
951,22824,24
953,7624,8
953,11436,12
954,45792,48
955,34380,36
956,19120,20
956,22944,24
957,76560,80
958,17244,18
959,34524,36
961,8649,9
961,17298,18
961,23064,24
962,38480,40
962,46176,48
964,19280,20
964,23136,24
965,34740,36
966,61824,64
966,115920,120
967,7736,8
967,11604,12
968,46464,48
968,87120,90
969,77520,80
970,46560,48
971,7768,8
971,11652,12
972,26244,27
973,35028,36
974,17532,18
975,78000,80
976,27328,28
977,7816,8
977,11724,12
978,39120,40
979,35244,36
980,94080,96
982,17676,18
983,7864,8
983,11796,12
984,47232,48
984,55104,56
985,35460,36
986,39440,40
986,47328,48
987,78960,80
988,31616,32
988,71136,72
989,35604,36
990,89100,90
990,118800,120
991,7928,8
991,11892,12
993,23832,24
994,39760,40
994,47712,48
995,35820,36
996,31872,32
996,59760,60
997,7976,8
997,11964,12
998,17964,18
999,35964,36
999,59940,60
999,79920,80
1000,56000,56
1000,60000,60
1001,80080,80
1001,96096,96
1002,40080,40
1003,36108,36
1004,20080,20
1004,24096,24
1006,18108,18
1007,36252,36
1008,84672,84
1009,8072,8
1009,12108,12
1010,48480,48
1011,24264,24
1012,32384,32
1012,72864,72
1013,8104,8
1013,12156,12
1015,97440,96
1016,16256,16
1016,36576,36
1018,18324,18
1019,8152,8
1019,12228,12
1020,97920,96
1020,114240,112
1021,8168,8
1021,12252,12
1022,40880,40
1022,49056,48
1023,81840,80
1025,73800,72
1026,65664,64
1027,36972,36
1028,20560,20
1028,24672,24
1029,82320,80
1030,49440,48
1031,8248,8
1031,12372,12
1032,49536,48
1032,57792,56
1033,8264,8
1033,12396,12
1034,41360,40
1034,49632,48
1035,99360,96
1036,33152,32
1036,74592,72
1037,37332,36
1038,41520,40
1039,8312,8
1039,12468,12
1041,24984,24
1042,18756,18
